Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Louisiana Tech,66.8196,272,65.6521,278,107.185,137,108.711,132,97.2592,20,100.388,65,8.32337,95,
2024,Louisville,70.4252,71,69.7271,60,101.388,259,105.248,199,112.072,330,108.264,217,-3.01566,200,
2024,Loyola Chicago,69.1644,132,68.5933,106,103.733,218,105.607,189,96.7444,15,96.9201,25,8.68671,92,
2024,Loyola Marymount,65.8525,312,64.5887,325,107.968,119,108.23,142,109.267,279,110.811,270,-2.58152,192,
2024,Loyola MD,65.788,314,65.649,279,94.7793,342,93.4204,348,108.521,264,113.526,331,-20.1058,350,
2024,LSU,70.8356,56,69.6085,67,107.139,138,110.09,102,104.823,180,101.37,91,8.72032,91,
2024,Maine,67.5604,236,65.378,298,97.2733,317,97.3015,319,99.5328,43,102.389,100,-5.08749,232,
2024,Manhattan,69.0127,143,67.9813,142,94.2792,345,95.2759,339,109.028,271,112.455,312,-17.1793,337,
2024,Marist,65.5403,324,64.6772,323,98.9318,298,97.0725,321,94.8008,5,100.911,77,-3.83825,209,
2024,Marquette,69.3264,123,68.9764,91,112.444,45,118.295,21,100.601,67,95.5586,19,22.7368,12,2
2024,Marshall,72.2562,24,70.3445,45,100.922,264,101.457,261,106.269,217,106.849,189,-5.39144,239,
2024,Maryland,66.2969,293,65.3778,299,102.554,241,107.085,160,98.3022,30,94.6696,14,12.4157,65,
2024,Maryland Eastern Shore,67.6579,228,67.0357,206,90.4527,358,89.6891,359,106.801,224,109.524,243,-19.8346,349,
2024,Massachusetts,69.2013,129,68.0966,135,111.375,55,111.754,81,102.101,98,103.174,115,8.58022,94,
2024,McNeese St.,66.8129,273,65.5784,282,117.513,11,114.034,51,96.1176,10,101.171,84,12.8625,60,12
2024,Memphis,72.0328,30,71.5081,19,110.7,67,113.072,70,104.135,155,102.528,105,10.5446,74,
2024,Mercer,67.4671,245,66.011,265,104.221,202,104.432,215,107.569,246,108.439,219,-4.00666,214,
2024,Merrimack,68.0592,207,67.313,184,98.6477,302,96.8801,324,94.1196,4,100.89,74,-4.00971,215,
2024,Miami FL,69.9598,94,68.4705,111,107.312,133,110.786,92,105.4,190,103.345,118,7.44048,102,
2024,Miami OH,67.7975,222,67.3166,183,101.034,263,99.7822,291,104.115,154,106.613,180,-6.8309,256,
2024,Michigan,68.8936,150,67.3757,175,104.381,200,110.504,93,113.57,345,106.683,182,3.82083,127,
